delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.1,1000,exp,0,0,0,9,0.0331063000485301,,0.02761119999922812,0.0331063000485301,1.0011785000097007,1.0011785000097007,1.0349783999845386,7.550288900034502,space,6.535114800091833,None,7.551807099953294,7.666085466804604,7.9816324999555945,7.960649200016633,7.960685200057924,7.9816324999555945,7.9816324999555945,7.9816324999555945,15.818322200095281,300,1,[7.855212399968877],[7.855230099987239],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.4,1000,exp,0,1,1,7,15.834052999969572,,15.821271300083026,15.834052999969572,16.834153099916875,16.834153099916875,16.834153099916875,19.602087900042534,space,2.756525499979034,None,19.60297379991971,20.01772096666197,20.34917900012806,20.311856100102887,20.311902800109237,20.34917900012806,20.34917900012806,20.34917900012806,25.353934100130573,200,1,[5.039140100125223],[5.039158100029454],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.7,400,unexp,0,2,2,2,25.367338699987158,,25.35553569998592,25.367338699987158,26.36844460014254,26.36844460014254,26.36844460014254,28.170561300124973,space,1.7963549999985844,None,28.171451000031084,28.88463316677759,29.216486799996346,29.181218000128865,29.18128040013835,29.216486799996346,29.216486799996346,29.216486799996346,39.201494300039485,300,1,[10.016424800036475],[10.01644100015983],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.1,1000,exp,0,3,3,6,39.21802809997462,,39.203099800040945,39.21802809997462,40.200573900016025,40.200573900016025,40.21713809994981,41.669928800081834,space,1.4597809000406414,None,41.67102460004389,41.7849424665949,42.11583580006845,42.081538500031456,42.081602399935946,42.11583580006845,42.11583580006845,42.11583580006845,45.102483599912375,400,1,[3.0173794000875205],[3.017393800197169],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.4,1000,exp,0,4,4,4,45.11762399994768,,45.10382670001127,45.11762399994768,46.11765390005894,46.11765390005894,46.11765390005894,47.50184169993736,space,1.368046699790284,None,47.50311190006323,47.91726836661498,48.23240450001322,48.21167919994332,48.211738999933004,48.23240450001322,48.23240450001322,48.23240450001322,55.000686400104314,200,1,[6.786294500110671],[6.786319600185379],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.1,400,unexp,0,5,5,0,55.017043800093234,,55.002267099916935,55.017043800093234,56.00134600000456,56.00134600000456,56.01773370010778,57.43650409998372,space,1.4184801999945194,None,57.43748360010795,57.55156026670399,57.883235099958256,57.85129279992543,57.8513378999196,57.883235099958256,57.883235099958256,57.883235099958256,62.90135880000889,200,1,[5.047133499989286],[5.047150299884379],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.4,1000,exp,0,6,6,10,62.91759770014323,,62.90308850002475,62.91759770014323,63.91783910011873,63.91783910011873,63.91783910011873,65.52141100005247,space,1.6012471998110414,None,65.52247279998846,65.93456266663658,66.26622830005363,66.23175520007499,66.23182049999014,66.26622830005363,66.26622830005363,66.26622830005363,68.51797330006957,100,1,[2.2828794999513775],[2.2828961999621242],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.4,400,unexp,0,7,7,1,68.53461650013924,,68.51973320008256,68.53461650013924,69.53457159991376,69.53457159991376,69.53457159991376,70.55403120000847,space,1.0125571999233216,None,70.55500510009006,70.9677843666325,71.299353600014,71.26572600007057,71.265793700004,71.299353600014,71.299353600014,71.299353600014,73.33452700008638,100,1,[2.065604800125584],[2.0656222000252455],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.7,1000,exp,0,8,8,11,73.35054889996536,,73.33609240013175,73.35054889996536,74.35134060005657,74.35134060005657,74.35134060005657,74.83761849999428,space,0.4805493999738246,None,74.83846969995648,75.55066516675676,75.88255380000919,75.84559589996934,75.84564670012332,75.88255380000919,75.88255380000919,75.88255380000919,83.2374589999672,200,1,[7.388424700126052],[7.388443500036374],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.7,1000,exp,0,9,9,5,83.25102480011992,,83.23898950009607,83.25102480011992,84.2515599001199,84.2515599001199,84.2515599001199,85.11998519999906,space,0.8522220000158995,None,85.12094249995425,85.83459896670344,86.1664643001277,86.13217619992793,86.13224570010789,86.1664643001277,86.1664643001277,86.1664643001277,90.06747030001134,100,1,[3.9316496001556516],[3.9316708999685943],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
